bin_left,bin_right,count
0.019499175157043237,0.02297791469209933,5
0.02297791469209933,0.026456654227155423,6
0.026456654227155423,0.029935393762211514,0
0.029935393762211514,0.03341413329726761,4
0.03341413329726761,0.0368928728323237,6
0.0368928728323237,0.040371612367379794,2
0.040371612367379794,0.043850351902435886,2
0.043850351902435886,0.04732909143749198,1
0.04732909143749198,0.05080783097254807,2
0.05080783097254807,0.05428657050760416,6
0.05428657050760416,0.057765310042660264,1
0.057765310042660264,0.061244049577716356,0
0.061244049577716356,0.06472278911277245,0
0.06472278911277245,0.06820152864782854,0
0.06820152864782854,0.07168026818288463,3
0.07168026818288463,0.07515900771794072,0
0.07515900771794072,0.07863774725299681,0
0.07863774725299681,0.0821164867880529,0
0.0821164867880529,0.085595226323109,1
0.085595226323109,0.08907396585816509,0
0.08907396585816509,0.09255270539322119,0
0.09255270539322119,0.09603144492827728,0
0.09603144492827728,0.09951018446333337,1
0.09951018446333337,0.10298892399838946,0
0.10298892399838946,0.10646766353344556,0
0.10646766353344556,0.10994640306850165,0
0.10994640306850165,0.11342514260355774,1
0.11342514260355774,0.11690388213861384,0
0.11690388213861384,0.12038262167366993,0
0.12038262167366993,0.12386136120872603,1
0.12386136120872603,0.12734010074378213,0
0.12734010074378213,0.13081884027883822,0
0.13081884027883822,0.1342975798138943,0
0.1342975798138943,0.1377763193489504,1
0.1377763193489504,0.1412550588840065,0
0.1412550588840065,0.1447337984190626,0
0.1447337984190626,0.14821253795411868,2
0.14821253795411868,0.15169127748917477,0
0.15169127748917477,0.15517001702423086,0
0.15517001702423086,0.15864875655928695,0
0.15864875655928695,0.16212749609434307,1
0.16212749609434307,0.16560623562939916,0
0.16560623562939916,0.16908497516445525,0
0.16908497516445525,0.17256371469951134,0
0.17256371469951134,0.17604245423456744,0
0.17604245423456744,0.17952119376962353,0
0.17952119376962353,0.18299993330467962,0
0.18299993330467962,0.1864786728397357,0
0.1864786728397357,0.1899574123747918,0
0.1899574123747918,0.1934361519098479,0
0.1934361519098479,0.19691489144490398,0
0.19691489144490398,0.20039363097996007,0
0.20039363097996007,0.20387237051501617,1
0.20387237051501617,0.20735111005007226,0
0.20735111005007226,0.21082984958512835,0
0.21082984958512835,0.21430858912018447,0
0.21430858912018447,0.21778732865524056,0
0.21778732865524056,0.22126606819029665,0
0.22126606819029665,0.22474480772535274,0
0.22474480772535274,0.22822354726040883,0
0.22822354726040883,0.23170228679546492,0
0.23170228679546492,0.23518102633052101,0
0.23518102633052101,0.2386597658655771,0
0.2386597658655771,0.2421385054006332,0
0.2421385054006332,0.2456172449356893,0
0.2456172449356893,0.24909598447074538,0
0.24909598447074538,0.25257472400580144,0
0.25257472400580144,0.25605346354085756,0
0.25605346354085756,0.2595322030759136,0
0.2595322030759136,0.26301094261096974,0
0.26301094261096974,0.2664896821460258,0
0.2664896821460258,0.2699684216810819,0
0.2699684216810819,0.27344716121613805,0
0.27344716121613805,0.2769259007511941,0
0.2769259007511941,0.28040464028625023,0
0.28040464028625023,0.2838833798213063,0
0.2838833798213063,0.2873621193563624,0
0.2873621193563624,0.2908408588914185,0
0.2908408588914185,0.2943195984264746,0
0.2943195984264746,0.29779833796153066,0
0.29779833796153066,0.3012770774965868,0
0.3012770774965868,0.3047558170316429,0
0.3047558170316429,0.30823455656669896,0
0.30823455656669896,0.3117132961017551,0
0.3117132961017551,0.31519203563681114,0
0.31519203563681114,0.31867077517186726,0
0.31867077517186726,0.3221495147069233,0
0.3221495147069233,0.32562825424197944,0
0.32562825424197944,0.3291069937770355,0
0.3291069937770355,0.3325857333120916,0
0.3325857333120916,0.3360644728471477,0
0.3360644728471477,0.3395432123822038,0
0.3395432123822038,0.34302195191725987,0
0.34302195191725987,0.346500691452316,0
0.346500691452316,0.34997943098737205,0
0.34997943098737205,0.35345817052242817,0
0.35345817052242817,0.3569369100574843,0
0.3569369100574843,0.36041564959254035,0
0.36041564959254035,0.3638943891275965,0
0.3638943891275965,0.36737312866265254,1
