global_idx,seq_idx,file,frame_abs,n_atoms,score,dF,dF_max,dE,dV
12,3,./md_pools/TS5_500K/nve_51.lammpstrj,300,98,0.36737312866265254,0.36737312866265254,0.36737312866265254,0.009715427717509655,21.572791387583912
28,3,./md_pools/TS5_500K/nve_53.lammpstrj,300,98,0.20108945467243908,0.20108945467243908,0.20108945467243908,0.007986792709206174,22.579774451319743
45,4,./md_pools/TS5_500K/nve_55.lammpstrj,400,98,0.16110044786274874,0.16110044786274874,0.16110044786274874,0.018763578193552274,23.021151437075673
11,2,./md_pools/TS5_500K/nve_51.lammpstrj,200,98,0.14647457698137872,0.14647457698137872,0.14647457698137872,0.027604342316277418,20.638169393086518
35,2,./md_pools/TS5_500K/nve_54.lammpstrj,200,98,0.1451541288455121,0.1451541288455121,0.1451541288455121,0.03037701561947176,20.926031283634924
43,2,./md_pools/TS5_500K/nve_55.lammpstrj,200,98,0.13606361310451556,0.13606361310451556,0.13606361310451556,0.06787439625934052,20.60696483836707
27,2,./md_pools/TS5_500K/nve_53.lammpstrj,200,98,0.12231336188550355,0.12231336188550355,0.12231336188550355,0.014288234812852844,22.46386770232227
23,6,./md_pools/TS5_500K/nve_52.lammpstrj,600,98,0.11075874632649231,0.11075874632649231,0.11075874632649231,0.003711107216299531,22.014883205969333
14,5,./md_pools/TS5_500K/nve_51.lammpstrj,500,98,0.09716462948899003,0.09716462948899003,0.09716462948899003,0.022295525195153848,22.64932208910572
19,2,./md_pools/TS5_500K/nve_52.lammpstrj,200,98,0.08448718633820153,0.08448718633820153,0.08448718633820153,0.016727584842336572,21.211931040409137
2,2,./md_pools/TS5_500K/nve_50.lammpstrj,200,98,0.07076935877875207,0.07076935877875207,0.07076935877875207,0.04188094551139048,19.951405748168057
36,3,./md_pools/TS5_500K/nve_54.lammpstrj,300,98,0.07049808255664483,0.07049808255664483,0.07049808255664483,0.032660186477001064,21.168711718120406
13,4,./md_pools/TS5_500K/nve_51.lammpstrj,400,98,0.07043027925179361,0.07043027925179361,0.07043027925179361,0.007538156578315389,22.54213781470362
34,1,./md_pools/TS5_500K/nve_54.lammpstrj,100,98,0.0557963210803539,0.0557963210803539,0.0557963210803539,0.02309216206869785,19.519885462801874
3,3,./md_pools/TS5_500K/nve_50.lammpstrj,300,98,0.053925476670286736,0.053925476670286736,0.053925476670286736,0.04330052034084027,21.960984835121312
24,7,./md_pools/TS5_500K/nve_52.lammpstrj,700,98,0.05379426230590902,0.05379426230590902,0.05379426230590902,0.0022321753822977636,19.448928433960567
25,0,./md_pools/TS5_500K/nve_53.lammpstrj,0,98,0.05341607375492431,0.05341607375492431,0.05341607375492431,0.018876314593299526,21.267620147113025
32,7,./md_pools/TS5_500K/nve_53.lammpstrj,700,98,0.053326551205708665,0.053326551205708665,0.053326551205708665,0.0121107679612077,15.891154506126068
29,4,./md_pools/TS5_500K/nve_53.lammpstrj,400,98,0.05109924708608783,0.05109924708608783,0.05109924708608783,0.021323937011281345,21.82548980157116
44,3,./md_pools/TS5_500K/nve_55.lammpstrj,300,98,0.05095381843569598,0.05095381843569598,0.05095381843569598,0.0436436733878653,22.25953280797209
0,0,./md_pools/TS5_500K/nve_50.lammpstrj,0,98,0.04970868934676056,0.04970868934676056,0.04970868934676056,0.013942356695358083,19.153224175728454
41,0,./md_pools/TS5_500K/nve_55.lammpstrj,0,98,0.04970868934676056,0.04970868934676056,0.04970868934676056,0.013933077124903541,19.057386254342322
20,3,./md_pools/TS5_500K/nve_52.lammpstrj,300,98,0.046012531764892936,0.046012531764892936,0.046012531764892936,0.007591316372187382,20.688105783597326
18,1,./md_pools/TS5_500K/nve_52.lammpstrj,100,98,0.04376549066961559,0.04376549066961559,0.04376549066961559,0.02469795537672831,20.127054075693014
6,6,./md_pools/TS5_500K/nve_50.lammpstrj,600,98,0.043397329368156705,0.043397329368156705,0.043397329368156705,0.006620084175694882,20.85619923170005
22,5,./md_pools/TS5_500K/nve_52.lammpstrj,500,98,0.03753483026988633,0.03753483026988633,0.03753483026988633,0.010549293297313564,21.72250255070645
15,6,./md_pools/TS5_500K/nve_51.lammpstrj,600,98,0.03706371874515834,0.03706371874515834,0.03706371874515834,0.025167788459220526,20.9763211488
40,7,./md_pools/TS5_500K/nve_54.lammpstrj,700,98,0.03511928446893516,0.03511928446893516,0.03511928446893516,0.004435717567000742,19.57823735170103
21,4,./md_pools/TS5_500K/nve_52.lammpstrj,400,98,0.03483746848394429,0.03483746848394429,0.03483746848394429,0.004836443304254542,20.928680493574944
5,5,./md_pools/TS5_500K/nve_50.lammpstrj,500,98,0.0346911340881979,0.0346911340881979,0.0346911340881979,0.009378048667751777,22.628191384758495
37,4,./md_pools/TS5_500K/nve_54.lammpstrj,400,98,0.03464050392179572,0.03464050392179572,0.03464050392179572,0.026609291152689372,21.86489290303896
30,5,./md_pools/TS5_500K/nve_53.lammpstrj,500,98,0.03353382977639149,0.03353382977639149,0.03353382977639149,0.015725995685735496,22.3013650816661
17,0,./md_pools/TS5_500K/nve_52.lammpstrj,0,98,0.033428591378059515,0.033428591378059515,0.033428591378059515,0.034839020002831504,21.218398463150006
46,5,./md_pools/TS5_500K/nve_55.lammpstrj,500,98,0.03303027405870946,0.03303027405870946,0.03303027405870946,0.005859020124777399,22.601763679269233
9,0,./md_pools/TS5_500K/nve_51.lammpstrj,0,98,0.0328099956356284,0.0328099956356284,0.0328099956356284,0.032765854393522094,19.808211010034412
4,4,./md_pools/TS5_500K/nve_50.lammpstrj,400,98,0.03128601428191802,0.03128601428191802,0.03128601428191802,0.02586655290702745,22.39551638482149
7,7,./md_pools/TS5_500K/nve_50.lammpstrj,700,98,0.031253402139153535,0.031253402139153535,0.031253402139153535,0.0070630928250777205,18.397070871963262
39,6,./md_pools/TS5_500K/nve_54.lammpstrj,600,98,0.025875443688338298,0.025875443688338298,0.025875443688338298,0.012719937781711627,21.491194358958
1,1,./md_pools/TS5_500K/nve_50.lammpstrj,100,98,0.02514363763864324,0.02514363763864324,0.02514363763864324,0.023671673376476982,19.165525239360175
42,1,./md_pools/TS5_500K/nve_55.lammpstrj,100,98,0.024873964245230338,0.024873964245230338,0.024873964245230338,0.02464359141237844,19.213022310751843
47,6,./md_pools/TS5_500K/nve_55.lammpstrj,600,98,0.02481024042633598,0.02481024042633598,0.02481024042633598,0.012156630048406196,19.698580331357384
26,1,./md_pools/TS5_500K/nve_53.lammpstrj,100,98,0.024004165842357688,0.024004165842357688,0.024004165842357688,0.002110732088292059,21.319360528696823
31,6,./md_pools/TS5_500K/nve_53.lammpstrj,600,98,0.023263350203622805,0.023263350203622805,0.023263350203622805,0.007479948749027284,18.858898402305613
33,0,./md_pools/TS5_500K/nve_54.lammpstrj,0,98,0.021762378303072122,0.021762378303072122,0.021762378303072122,0.02008083595758256,20.265449754339574
16,7,./md_pools/TS5_500K/nve_51.lammpstrj,700,98,0.021489793128358425,0.021489793128358425,0.021489793128358425,0.01462311437688247,18.55857924430111
10,1,./md_pools/TS5_500K/nve_51.lammpstrj,100,98,0.020403488639038875,0.020403488639038875,0.020403488639038875,0.03306996201167648,19.5175256027499
8,8,./md_pools/TS5_500K/nve_50.lammpstrj,800,98,0.019816614527392976,0.019816614527392976,0.019816614527392976,0.01003018924979924,15.685516441404541
38,5,./md_pools/TS5_500K/nve_54.lammpstrj,500,98,0.019499175157043237,0.019499175157043237,0.019499175157043237,0.019134119003944378,21.75719739177669
